JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,School_Type,School_Location,Extra_Tutorials,Access_To_Learning_Materials,Parent_Involvement,IT_Knowledge,Student_ID,Age,Gender,Socioeconomic_Status,Parent_Education_Level,Assignments_Completed
192,22,78,4,12.4,0,1,1,1,0,2,1,17,0,1,2,2
182,29,87,2,9.6,0,0,1,1,0,2,3,20,1,0,2,2
210,29,99,2,2.6,0,1,0,1,2,0,4,22,1,2,2,1
199,12,98,3,8.8,0,1,0,1,2,2,5,22,1,2,2,1
202,25,85,2,13.6,0,1,1,0,2,1,6,15,0,1,2,1
251,35,85,4,2.6,0,1,0,1,1,2,7,16,1,2,0,4
129,27,75,3,9.4,0,1,0,1,1,2,8,19,1,1,2,3
220,23,85,3,4.6,0,0,0,0,1,2,9,19,1,2,2,1
188,32,90,2,4.5,1,0,0,0,1,2,11,22,0,2,1,3
158,7,87,3,4.7,0,0,1,1,0,2,12,20,0,2,1,1
191,25,91,2,8.3,0,1,0,1,0,1,13,19,1,2,1,2
114,2,92,1,14.8,0,0,1,0,1,0,14,19,0,1,1,1
146,27,100,3,10.5,0,0,1,0,1,2,15,18,0,1,1,2
154,16,84,4,7.1,0,0,0,1,1,2,16,15,0,2,0,1
102,25,90,3,9.6,1,0,1,1,1,1,17,15,0,0,1,2
106,18,77,2,7.6,0,1,0,1,2,2,18,22,1,1,0,1
238,14,100,3,4.1,0,0,0,1,0,0,19,20,1,0,1,1
274,40,100,3,12.2,1,0,0,0,1,1,20,21,1,2,1,4
251,34,90,2,9.3,0,1,1,0,0,2,22,21,0,1,0,5
159,11,77,2,11.8,0,1,0,1,1,1,23,20,0,2,0,1
263,28,89,3,14.5,1,1,1,1,2,2,25,18,0,2,2,3
101,29,77,2,3.9,1,0,1,0,2,2,27,21,1,2,2,3
153,19,90,3,10.2,0,1,1,1,2,1,28,16,1,1,0,2
153,0,91,2,9.9,1,0,1,1,2,0,29,22,1,1,0,1
